agent,architecture,model_key,site,n_runs,strict_field_f1_mean,strict_field_f1_std,record_f1_mean,record_f1_std,record_recall_mean,record_recall_std,record_completeness_mean,record_completeness_std,schema_adherence_mean,schema_adherence_std,task_success_mean,task_success_std,selector_pair_coverage_mean,selector_pair_coverage_std,quote_coverage_mean,quote_coverage_std,verified_provenance_precision_mean,verified_provenance_precision_std,verified_provenance_recall_mean,verified_provenance_recall_std,latency_seconds_mean,latency_seconds_std,input_tokens_mean,input_tokens_std,output_tokens_mean,output_tokens_std,tool_actions_mean,tool_actions_std,browser_actions_mean,browser_actions_std
A1__kimi,A1,kimi,site_03,3,0.8761904761904762,0.14661718398419668,0.8666666666666667,0.1527525231651947,0.8666666666666667,0.1527525231651947,0.8666666666666667,0.1527525231651947,1,0.0,0.6666666666666666,0.5773502691896257,1.0,0.0,1.0,0.0,0.8761904761904762,0.14661718398419668,0.8761904761904762,0.14661718398419668,349.5713333333333,41.45743045985042,194274.66666666666,1151.1187312060097,10888.333333333334,107.82547627223046,10,0.0,0,0.0
A1__kimi,A1,kimi,site_04,3,0.9166666666666666,0.14433756729740652,0.9166666666666666,0.14433756729740652,0.8666666666666667,0.23094010767585033,0.8666666666666667,0.23094010767585033,1,0.0,0.6666666666666666,0.5773502691896257,1.0,0.0,0.7111111111111111,0.012729376930432893,0.6861111111111111,0.03154949081000151,0.5916666666666667,0.14648663192705788,431.253,86.58465985958483,688362.6666666666,92133.55595728048,9335.666666666666,2518.999073706327,10,0.0,0,0.0
A2__gemma,A2,gemma,site_01,3,0.11347517730496454,0.19654477249008537,0.11111111111111112,0.1924500897298753,0.06666666666666667,0.11547005383792516,0.06666666666666667,0.11547005383792516,1,0.0,0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0.06837606837606837,0.118430824449154,563.3693333333333,7.117070839420788,72580.33333333333,11.547005383792515,50661.333333333336,64.66323014923809,23,0.0,0,0.0
A2__gemma,A2,gemma,site_02,3,0.2678218574251406,0.1416390537273227,0.27505827505827507,0.1614965787943009,0.16666666666666666,0.11547005383792515,0.13333333333333333,0.05773502691896258,1,0.0,0,0.0,1.0,0.0,1.0,0.0,0.9722222222222222,0.048112522432468836,0.1623931623931624,0.10362697139300975,540.5756666666666,41.377686527080435,70577.66666666667,1525.4236569993705,49542.666666666664,3632.812867921128,22,0.0,0,0.0
A2__gemma,A2,gemma,site_03,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,537.1393333333333,16.538200395851206,42561.666666666664,127.5944094909073,48750.333333333336,1415.6628600529623,20,0.0,0,0.0
A2__gemma,A2,gemma,site_04,3,0.4981684981684982,0.06344508452633256,0.4981684981684982,0.06344508452633256,0.3333333333333333,0.057735026918962595,0.3333333333333333,0.057735026918962595,1,0.0,0,0.0,1.0,0.0,0.826388888888889,0.012028130608117225,0.75,0.0,0.25,0.043301270189221926,661.6443333333334,7.817448773950066,65843,911.0587247812294,58331.333333333336,475.73662181225166,23,0.0,0,0.0
A2__qwen,A2,qwen,site_01,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,190.058,3.0871658523636114,53927,41.569219381653056,14113.666666666666,196.29909152447277,22,0.0,0,0.0
A2__qwen,A2,qwen,site_02,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,186.97933333333333,16.177455496255693,52508.333333333336,2115.9887365799786,13763.333333333334,1180.6813004927847,21,0.0,0,0.0
A2__qwen,A2,qwen,site_03,3,0.0851063829787234,0.07370428968378201,0.09523809523809525,0.08247860988423227,0.06666666666666667,0.05773502691896258,0.06666666666666667,0.05773502691896258,1,0.0,0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.14433756729740643,0.05714285714285714,0.049487165930539354,176.72066666666666,8.056066678803825,31127,1479.2376414896964,13537,704.951062131266,20,0.0,0,0.0
A2__qwen,A2,qwen,site_04,3,0.9454191033138402,0.055581198555100374,0.9454191033138402,0.055581198555100374,0.9,0.09999999999999998,0.9,0.09999999999999998,1,0.0,0.3333333333333333,0.5773502691896257,1.0,0.0,0.75,0.0,0.6939814814814814,0.006262846878920664,0.625,0.07499999999999996,151.105,15.096303786026562,39833.666666666664,1413.0001179523424,11109.333333333334,1162.5129389960928,22,1.0,0,0.0
